rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
90,Chøoch,Hunter,BeastMastery,Dark Ranger,10140943.649862,340780,729,Area 52,Sacred Lotus,Unyielding Netherprism,Araz's Ritual Forge,JPmxXcYNKaQMh7Bq,37
91,Appledks,DeathKnight,Frost,Rider of the Apocalypse,10135579.658194,331416,729,Illidan,Vibrant,Unyielding Netherprism,Astral Antenna,QgyMNVpJC2AvqjRf,7
92,ßloóm,Hunter,BeastMastery,Dark Ranger,10130062.343627,345328,729,Illidan,Just Woke Up,Unyielding Netherprism,Astral Antenna,Mhr9P3zxaZ2fdANb,103
93,Austinggez,Hunter,BeastMastery,Dark Ranger,10129465.904333,331963,729,Zul'jin,Refined,Sigil of the Cosmic Hunt,Unyielding Netherprism,nYrabRkh6zTcyXjC,1
94,Tinytrapper,Hunter,BeastMastery,Dark Ranger,10124899.624477,426339,729,Tichondrius,Valyrian,Araz's Ritual Forge,Unyielding Netherprism,aVc6AjHYNBKvPZd3,16
95,Aliveevil,Hunter,BeastMastery,Dark Ranger,10123140.689611,372906,729,Illidan,Squirrel Squad,Unyielding Netherprism,Astral Antenna,yRCMDXgkNKG38wTf,14
96,Wrisk,Hunter,BeastMastery,Dark Ranger,10118484.937814,374846,729,Area 52,Functional,Improvised Seaforium Pacemaker,Unyielding Netherprism,W7HkyprgRfdTc6wh,8
97,Palsham,Shaman,Elemental,,10117798.89563,346442,729,Frostmourne,Barbershop Quartet,Astral Antenna,Araz's Ritual Forge,7MdTVgWvAK3xPDpF,1
98,Hoponosrs,Hunter,BeastMastery,Dark Ranger,10116747.181969,333655,729,Frostmourne,Honestly,Unyielding Netherprism,Araz's Ritual Forge,Azdbg8WQZJyDNpw3,46
99,Zepherousdk,DeathKnight,Frost,Rider of the Apocalypse,10110732.178846,334925,729,Frostmourne,Karoshi,Unyielding Netherprism,Astral Antenna,DmZMWCrtgTfjLX4b,16
100,Minivel,DeathKnight,Frost,Rider of the Apocalypse,10109028.250049,355610,729,Stormrage,vodka,Astral Antenna,Unyielding Netherprism,Aj4B7zDdMbhpKTw1,2
