rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
82,Dpxhunt,Hunter,BeastMastery,Dark Ranger,10413365.539365,369703,729,Blackhand,Gravity,Araz's Ritual Forge,Unyielding Netherprism,rjnRgD8tHTcY4NKx,16
83,Jwag,Hunter,BeastMastery,Dark Ranger,10407006.476622,333044,729,Turalyon,Pure,Improvised Seaforium Pacemaker,Unyielding Netherprism,PQg4qH1ZbVGhfN27,31
84,Risotek,Mage,Arcane,Spellslinger,10397766.620728,378037,729,Blackmoore,Night Stories,Diamantine Voidcore,Azhiccaran Parapodia,ZAQ9dWbgj3GFLJpq,17
85,Zbysapavlat,Hunter,BeastMastery,Dark Ranger,10394578.16434,432128,728,Drak'thul,Exposed,Araz's Ritual Forge,Unyielding Netherprism,cy2qb3CBPRaJWHdv,12
86,Shmouk,Hunter,BeastMastery,Dark Ranger,10393356.302376,370281,729,Hyjal,Aprèm,Araz's Ritual Forge,Unyielding Netherprism,FdxHZg9zQD3h1tJa,6
87,Robinwl,Warlock,Destruction,Diabolist,10393099.055439,352439,729,Blackhand,Northern Sky,Azhiccaran Parapodia,Diamantine Voidcore,AMYvKVjpDtJxRLw6,5
88,Майкисвин,Mage,Arcane,Spellslinger,10379450.176,398011,729,Ревущий фьорд,Гнев Анархии,Astral Antenna,Diamantine Voidcore,9mrb4T1y8KnfGMLw,42
89,Raxiedk,DeathKnight,Frost,Rider of the Apocalypse,10379291.251492,338412,729,Ragnaros,Sabotage,Astral Antenna,Unyielding Netherprism,8LpaqrHdzRmbwTnf,1
90,Archîdon,Hunter,BeastMastery,Dark Ranger,10374189.139812,342646,729,Blackhand,Exôdus,Unyielding Netherprism,Araz's Ritual Forge,TRFGVMxyagNmd4fD,20
91,Gramgash,Hunter,BeastMastery,Dark Ranger,10373284.477417,419608,729,Blackrock,Zero Gravity,Araz's Ritual Forge,Unyielding Netherprism,x2Ad9q4VWRjH7FnJ,25
92,Blopoxd,Hunter,BeastMastery,Dark Ranger,10371965.066181,398754,729,Draenor,Stasis,Araz's Ritual Forge,Unyielding Netherprism,g7pcMz4yBWAN3a2P,12
93,Druffballern,Hunter,BeastMastery,Dark Ranger,10369953.824967,336199,729,Mal'Ganis,Reprogress Live,Ara-Kara Sacbrood,Unyielding Netherprism,hfXdyVLpkYGTn9F6,40
94,Hansw,Hunter,BeastMastery,Dark Ranger,10369208.663656,351676,729,Blackhand,Easy Katka,Astral Antenna,Unyielding Netherprism,LjMdhGyNc6bV1vTm,3
95,Ssjdh,Hunter,BeastMastery,Dark Ranger,10366991.796785,348400,729,Hyjal,Roll Up,Unyielding Netherprism,Astral Antenna,hHZxLCKk4Avz7Wny,17
96,Fumhi,Hunter,BeastMastery,Dark Ranger,10362493.734229,376091,729,Tarren Mill,Overcharged,Improvised Seaforium Pacemaker,Unyielding Netherprism,tVNgCKQYBy8HwMLP,32
97,Huntoperb,Hunter,BeastMastery,Dark Ranger,10358623.065144,433624,727,Twisting Nether,this is fine,Unyielding Netherprism,Astral Antenna,yxZFpbz1RYavhk2L,18
98,Løukizz,Hunter,BeastMastery,Dark Ranger,10355544.315915,361439,729,Ysondre,Waít for it,Unyielding Netherprism,Astral Antenna,v1NayLDMtkBH8QnY,1
99,Koldekevin,Mage,Arcane,Spellslinger,10348995.003989,324659,729,Tarren Mill,Revoke,Diamantine Voidcore,Astral Antenna,QgmbYjnkhyMDcq7P,47
100,Даняауг,Evoker,Augmentation,Chronowarden,10348958.496188,306767,729,Ревущий фьорд,Гнев Анархии,Astral Antenna,Araz's Ritual Forge,zJvWKQAnZ2cHRMf6,62
